 profundidade, Hcp_real, Hcp_imag, Hcx_real, Hcx_imag, rho
 -0.1399999976158142E+01, -0.7607284547802942E-01, -0.1910497040664591E-04,  0.1544597829301273E+00, -0.3006136893331649E-03,  55.0
 -0.1299999952316284E+01, -0.7607291950600316E-01, -0.3569274361888240E-04,  0.1544600144279478E+00, -0.2670843409822748E-03,  55.0
 -0.1200000047683716E+01, -0.7607298574532520E-01, -0.5214446408229056E-04,  0.1544602349326848E+00, -0.2335068778894818E-03,  55.0
 -0.1100000023841858E+01, -0.7607304432988921E-01, -0.6839471666798195E-04,  0.1544604443254017E+00, -0.1998628883819538E-03,  55.0
 -0.1000000000000000E+01, -0.7607309544921534E-01, -0.8432639956615499E-04,  0.1544606424809662E+00, -0.1661188257977563E-03,  55.0
 -0.8999999761581421E+00, -0.7607300811402236E-01, -0.7028392396541650E-04,  0.1544608229348239E+00, -0.1378748553951112E-03,  55.0
 -0.8000000119209290E+00, -0.7607293104593259E-01, -0.6031074993708929E-04,  0.1544609823280415E+00, -0.1176238258686857E-03,  55.0
 -0.6999999880790710E+00, -0.7607286252076050E-01, -0.5290226208891034E-04,  0.1544611241980610E+00, -0.1023961752594389E-03,  55.0
 -0.6000000238418579E+00, -0.7607280126197356E-01, -0.4721227234367002E-04,  0.1544612511611843E+00, -0.9052873046791636E-04,  55.0
 -0.5000000000000000E+00, -0.7607274629058737E-01, -0.4272912234376540E-04,  0.1544613652226495E+00, -0.8101845197798077E-04,  55.0
 -0.4000000059604645E+00, -0.7607269683520045E-01, -0.3912554715100777E-04,  0.1544614679619246E+00, -0.7322488875715610E-04, 220.0
 -0.3000000119209290E+00, -0.7607265227483512E-01, -0.3618262580828886E-04,  0.1544615606502174E+00, -0.6672012595848812E-04, 220.0
 -0.2000000029802322E+00, -0.7607261210089225E-01, -0.3374845809422044E-04,  0.1544616443285733E+00, -0.6120749952726760E-04, 220.0
 -0.1000000014901161E+00, -0.7607257589087069E-01, -0.3171439492829704E-04,  0.1544617198617773E+00, -0.5647494266789004E-04, 220.0
  0.0000000000000000E+00, -0.7607254328963306E-01, -0.3000070608659395E-04,  0.1544617879767405E+00, -0.5236690105217715E-04, 220.0
  0.1000000014901161E+00, -0.7607251327879075E-01, -0.2806321619776074E-04,  0.1544618492657652E+00, -0.4883110025278390E-04, 220.0
  0.2000000029802322E+00, -0.7607248638695192E-01, -0.2642604996733327E-04,  0.1544619042369705E+00, -0.4580645447184712E-04, 220.0
  0.3000000119209290E+00, -0.7607246238607804E-01, -0.2502152109789413E-04,  0.1544619533516618E+00, -0.4318940378778575E-04, 220.0
  0.4000000059604645E+00, -0.7607244107859590E-01, -0.2380365192455149E-04,  0.1544619970095146E+00, -0.4090615056200426E-04, 220.0
  0.5000000000000000E+00, -0.7607242229246401E-01, -0.2273929496495858E-04,  0.1544620355585614E+00, -0.3890153731402803E-04, 220.0
  0.6000000238418579E+00, -0.7607240587725490E-01, -0.2180355333806674E-04,  0.1544620693031243E+00, -0.3713299612503137E-04, 220.0
  0.6999999880790710E+00, -0.7607239170100541E-01, -0.2097716908454256E-04,  0.1544620985101815E+00, -0.3556691398821326E-04, 220.0
  0.8000000119209290E+00, -0.7607237964766428E-01, -0.2024491579803712E-04,  0.1544621234145389E+00, -0.3417628846135378E-04, 220.0
  0.8999999761581421E+00, -0.7607236961499829E-01, -0.1959454994431080E-04,  0.1544621442230611E+00, -0.3293913501060132E-04, 220.0
  0.1000000000000000E+01, -0.7607236151286267E-01, -0.1901609510200930E-04,  0.1544621611181663E+00, -0.3183736228983467E-04, 220.0
  0.1100000023841858E+01, -0.7607235526176910E-01, -0.1850133584187632E-04,  0.1544621742607288E+00, -0.3085595397250521E-04, 220.0
  0.1200000047683716E+01, -0.7607235079168240E-01, -0.1804344963864877E-04,  0.1544621837925053E+00, -0.2998235958713613E-04, 220.0
  0.1299999952316284E+01, -0.7607234804101269E-01, -0.1763673303905763E-04,  0.1544621898381758E+00, -0.2920603245288318E-04, 220.0
