profundidade, Hreal, Himag, rho 
 -0.8500000000000000E+01, -0.7607189588402968E-01, -0.1892372577240778E-04, 100.0
 -0.8399999618530273E+01, -0.7607194224885300E-01, -0.2000926494653290E-04, 100.0
 -0.8300000190734863E+01, -0.7607199078111976E-01, -0.2122267633391658E-04, 100.0
 -0.8199999809265137E+01, -0.7607204166301153E-01, -0.2258681978065845E-04, 100.0
 -0.8100000381469727E+01, -0.7607209510107397E-01, -0.2413027400201863E-04, 100.0
 -0.8000000000000000E+01, -0.7607215133098473E-01, -0.2588923649062498E-04, 100.0
 -0.7900000095367432E+01, -0.7607221062359704E-01, -0.2791023329135443E-04, 100.0
 -0.7800000190734863E+01, -0.7607227329273807E-01, -0.3025407161675991E-04, 100.0
 -0.7699999809265137E+01, -0.7607233970542282E-01, -0.3300175429701846E-04, 100.0
 -0.7599999904632568E+01, -0.7607241029549673E-01, -0.3626359239044474E-04, 100.0
 -0.7500000000000000E+01, -0.7607248558227028E-01, -0.4019372883072122E-04, 100.0
 -0.7400000095367432E+01, -0.7607256619663738E-01, -0.4501422297933670E-04, 100.0
 -0.7300000190734863E+01, -0.7607265291882830E-01, -0.5105691786697559E-04, 100.0
 -0.7199999809265137E+01, -0.7607274673506968E-01, -0.5884048527445561E-04, 100.0
 -0.7099999904632568E+01, -0.7607284892660769E-01, -0.6922251866674880E-04, 100.0
 -0.7000000000000000E+01, -0.7607296121795470E-01, -0.8372763659220060E-04, 100.0
 -0.6900000095367432E+01, -0.7607291945612447E-01, -0.6668635735132197E-04, 100.0
 -0.6800000190734863E+01, -0.7607286977731836E-01, -0.4963979449015456E-04, 100.0
 -0.6699999809265137E+01, -0.7607281215790430E-01, -0.3258761937943334E-04, 100.0
 -0.6599999904632568E+01, -0.7607274657285200E-01, -0.1552947676142256E-04, 100.0
 -0.6500000000000000E+01, -0.7607267299562781E-01,  0.1535017917826601E-05, 100.0
 -0.6400000095367432E+01, -0.7607259139806770E-01,  0.1860628150648312E-04,   0.9
 -0.6300000190734863E+01, -0.7607250175024888E-01,  0.3568476651850479E-04,   0.9
 -0.6199999809265137E+01, -0.7607240402034413E-01,  0.5277096493587455E-04,   0.9
 -0.6099999904632568E+01, -0.7607229817445778E-01,  0.6986541250846996E-04,   0.9
 -0.6000000000000000E+01, -0.7607218417644671E-01,  0.8696869362478490E-04,   0.9
 -0.5900000095367432E+01, -0.7607230696512904E-01,  0.1730858951766474E-04,   0.9
 -0.5800000190734863E+01, -0.7607242992555430E-01, -0.3248287670526749E-04,   0.9
 -0.5699999809265137E+01, -0.7607255117234699E-01, -0.6971225058835302E-04,   0.9
 -0.5599999904632568E+01, -0.7607266934557401E-01, -0.9848830355280450E-04,   0.9
 -0.5500000000000000E+01, -0.7607278341858788E-01, -0.1212947003405231E-03,   0.9
 -0.5400000095367432E+01, -0.7607289259043111E-01, -0.1397189869130271E-03,   0.9
 -0.5300000190734863E+01, -0.7607299622073027E-01, -0.1548218420021436E-03,   0.9
 -0.5199999809265137E+01, -0.7607309378792097E-01, -0.1673376999410937E-03,   0.9
 -0.5099999904632568E+01, -0.7607318486120267E-01, -0.1777901232491137E-03,   0.9
 -0.5000000000000000E+01, -0.7607326908101378E-01, -0.1865613322791346E-03,   0.9
 -0.4900000095367432E+01, -0.7607334614504883E-01, -0.1939357807622042E-03,   0.9
 -0.4800000190734863E+01, -0.7607341579800748E-01, -0.2001283807978671E-03,   0.9
 -0.4699999809265137E+01, -0.7607347782394465E-01, -0.2053032990490011E-03,   0.9
 -0.4599999904632568E+01, -0.7607353204048903E-01, -0.2095867650288971E-03,   0.9
 -0.4500000000000000E+01, -0.7607357829443480E-01, -0.2130759599134922E-03,   0.9
 -0.4400000095367432E+01, -0.7607361645837607E-01, -0.2158452656177608E-03,   0.9
 -0.4300000190734863E+01, -0.7607364642814737E-01, -0.2179506847947702E-03,   0.9
 -0.4199999809265137E+01, -0.7607366812091197E-01, -0.2194329541998049E-03,   0.9
 -0.4099999904632568E+01, -0.7607368147378597E-01, -0.2203196908493558E-03,   0.9
 -0.4000000000000000E+01, -0.7607368644291375E-01, -0.2206267897451147E-03,   0.9
 -0.3900000095367432E+01, -0.7607368300295800E-01, -0.2203592084439691E-03,   0.9
 -0.3799999952316284E+01, -0.7607367114696688E-01, -0.2195112118441760E-03,   0.9
 -0.3700000047683716E+01, -0.7607365088661512E-01, -0.2180660998658736E-03,   0.9
 -0.3599999904632568E+01, -0.7607362225283426E-01, -0.2159953934199999E-03,   0.9
 -0.3500000000000000E+01, -0.7607358529685716E-01, -0.2132574031305874E-03,   0.9
 -0.3400000095367432E+01, -0.7607354009173849E-01, -0.2097950428631018E-03,   0.9
 -0.3299999952316284E+01, -0.7607348673443312E-01, -0.2055326657354198E-03,   0.9
 -0.3200000047683716E+01, -0.7607342534855098E-01, -0.2003715781992203E-03,   0.9
 -0.3099999904632568E+01, -0.7607335608796967E-01, -0.1941837024511751E-03,   0.9
 -0.3000000000000000E+01, -0.7607327914154878E-01, -0.1868025654926038E-03,   0.9
 -0.2900000095367432E+01, -0.7607319473930223E-01, -0.1780103178999892E-03,   0.9
 -0.2799999952316284E+01, -0.7607310316055843E-01, -0.1675186862519007E-03,   0.9
 -0.2700000047683716E+01, -0.7607300474488980E-01, -0.1549403724738384E-03,   0.9
 -0.2599999904632568E+01, -0.7607289990701298E-01, -0.1397448995004107E-03,   0.9
 -0.2500000000000000E+01, -0.7607278915759196E-01, -0.1211881585272966E-03,   0.9
 -0.2400000095367432E+01, -0.7607267313309887E-01, -0.9819550411161372E-04,   0.9
 -0.2299999952316284E+01, -0.7607255264026482E-01, -0.6915846471332888E-04,   0.9
 -0.2200000047683716E+01, -0.7607242872528006E-01, -0.3156057871393123E-04,   0.9
 -0.2099999904632568E+01, -0.7607230278795880E-01,  0.1876130022219913E-04,   0.9
 -0.2000000000000000E+01, -0.7607217678511115E-01,  0.8921062700465994E-04,   0.9
 -0.1899999976158142E+01, -0.7607230295540283E-01,  0.7188088989754930E-04,   0.9
 -0.1799999952316284E+01, -0.7607242058306500E-01,  0.5455485730180546E-04,   0.9
